id,year,description,instructions,warning_message,active,createdAt,updatedAt,ModelId,ShopId,slug
298,1995-2002,,,,true,2020-01-14 07:27:30.901+00,2020-01-14 07:27:30.901+00,133,1,1995-2002
232,2013-2020,,,,true,2019-09-09 19:45:05.063+00,2020-07-10 22:20:38.546+00,93,1,2013-2020
212,2015-2019,,,,true,2019-09-09 19:45:04.943+00,2020-02-13 14:38:30.267+00,88,1,2015-2019
177,2015-2019,,,,true,2019-09-09 19:45:04.69+00,2020-03-30 17:37:09.933+00,76,1,2015-2019
339,1999-2002 HD,,,,true,2020-07-02 17:18:02.365+00,2020-07-02 17:18:21.186+00,87,1,1999-2002-HD
183,2003-2022,,,,true,2019-09-09 19:45:04.713+00,2022-06-08 18:37:19.451+00,78,1,2003-2021
228,2015-2020,,,,true,2019-09-09 19:45:04.987+00,2020-07-10 22:48:05.583+00,91,1,2015-2020
220,2015-2020,,,,true,2019-09-09 19:45:04.955+00,2020-07-10 22:53:35.569+00,89,1,2015-2020
297,1984-1989,,,,true,2019-10-15 18:17:07.137+00,2019-10-15 18:17:07.137+00,110,1,1984-1989
159,2017-2020,,,,true,2019-09-09 19:45:04.515+00,2020-08-12 22:33:20.893+00,69,1,2017-2020
141,2018-2020,,,,true,2019-09-09 19:45:04.436+00,2020-08-12 22:50:25.608+00,66,1,2018-2020
345,2016-2019,,,,true,2020-08-18 13:54:26.527+00,2020-08-18 13:54:26.527+00,115,1,2019-2019
137,1992-1996,,,,true,2019-09-09 19:45:04.434+00,2019-09-27 19:14:49.09+00,66,1,1992-1996
139,1999-2003,,,,true,2019-09-09 19:45:04.436+00,2019-09-27 19:14:49.091+00,66,1,1999-2003
140,2015-2017,,,,true,2019-09-09 19:45:04.436+00,2019-09-27 19:14:49.091+00,66,1,2015-2017
142,1997-1998,,,,true,2019-09-09 19:45:04.436+00,2019-09-27 19:14:49.091+00,66,1,1997-1998
144,2005-2007,,,,true,2019-09-09 19:45:04.476+00,2019-09-27 19:14:49.091+00,67,1,2005-2007
145,2008-2010,,,,true,2019-09-09 19:45:04.476+00,2019-09-27 19:14:49.091+00,67,1,2008-2010
148,1973-1979,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.092+00,67,1,1973-1979
149,1997-1998 new body style,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.093+00,67,1,1997-1998-new-body-style
150,1987-1991,,,,true,2019-09-09 19:45:04.477+00,2019-09-27 19:14:49.093+00,67,1,1987-1991
156,1997-1998,,,,true,2019-09-09 19:45:04.5+00,2019-09-27 19:14:49.093+00,68,1,1997-1998
155,2007-2014,,,,true,2019-09-09 19:45:04.5+00,2019-09-27 19:14:49.093+00,68,1,2007-2014
157,1999-2002,,,,true,2019-09-09 19:45:04.5+00,2019-09-27 19:14:49.094+00,68,1,1999-2002
158,2009-2014,,,,true,2019-09-09 19:45:04.515+00,2019-09-27 19:14:49.094+00,69,1,2009-2014
160,1992-2007,,,,true,2019-09-09 19:45:04.535+00,2019-09-27 19:14:49.094+00,70,1,1992-2007
161,1999-2004,,,,true,2019-09-09 19:45:04.583+00,2019-09-27 19:14:49.094+00,71,1,1999-2004
162,1987-1991,,,,true,2019-09-09 19:45:04.588+00,2019-09-27 19:14:49.094+00,72,1,1987-1991
163,2005-2007,,,,true,2019-09-09 19:45:04.583+00,2019-09-27 19:14:49.094+00,71,1,2005-2007
165,1992-1996,,,,true,2019-09-09 19:45:04.589+00,2019-09-27 19:14:49.094+00,72,1,1992-1996
164,1978-1979,,,,true,2019-09-09 19:45:04.588+00,2019-09-27 19:14:49.094+00,72,1,78-79
166,1980-1986,,,,true,2019-09-09 19:45:04.589+00,2019-09-27 19:14:49.095+00,72,1,1980-1986
169,2001-2012,,,,true,2019-09-09 19:45:04.62+00,2019-09-27 19:14:49.095+00,74,1,2001-2012
170,1993-1997,,,,true,2019-09-09 19:45:04.62+00,2019-09-27 19:14:49.095+00,74,1,1993-1997
171,1998-2000,,,,true,2019-09-09 19:45:04.62+00,2019-09-27 19:14:49.095+00,74,1,1998-2000
172,1991-1994,,,,true,2019-09-09 19:45:04.632+00,2019-09-27 19:14:49.095+00,75,1,1991-1994
173,2003-2007,,,,true,2019-09-09 19:45:04.69+00,2019-09-27 19:14:49.095+00,76,1,2003-2007
174,1995-2001,,,,true,2019-09-09 19:45:04.632+00,2019-09-27 19:14:49.096+00,75,1,1995-2001
175,2011-2014,,,,true,2019-09-09 19:45:04.69+00,2019-09-27 19:14:49.096+00,76,1,2011-2014
176,2007.5-2010,,,,true,2019-09-09 19:45:04.69+00,2019-09-27 19:14:49.096+00,76,1,20075-2010
179,1988-1998,,,,true,2019-09-09 19:45:04.691+00,2019-09-27 19:14:49.096+00,76,1,1988-1998
180,1999-2002,,,,true,2019-09-09 19:45:04.691+00,2019-09-27 19:14:49.096+00,76,1,1999-2002
182,2011-2016,,,,true,2019-09-09 19:45:04.709+00,2019-09-27 19:14:49.096+00,77,1,2011-2016
184,2007.5-2013,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.096+00,79,1,20075-2013
186,1988-1998,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.096+00,79,1,1988-1998
187,2014-2015,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.097+00,79,1,2014-2015
188,1999-2007 LD,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.097+00,79,1,1999-2007-LD
189,1999-2007 HD,,,,true,2019-09-09 19:45:04.732+00,2019-09-27 19:14:49.097+00,79,1,1999-2007-HD
192,1992-1999,,,,true,2019-09-09 19:45:04.738+00,2019-09-27 19:14:49.097+00,80,1,1992-1999
191,1973-1991,,,,true,2019-09-09 19:45:04.738+00,2019-09-27 19:14:49.097+00,80,1,1973-1991
193,1992-1999,,,,true,2019-09-09 19:45:04.788+00,2019-09-27 19:14:49.097+00,81,1,1992-1999
195,2001-2006,,,,true,2019-09-09 19:45:04.817+00,2019-09-27 19:14:49.097+00,82,1,2001-2006
196,2004-2012,,,,true,2019-09-09 19:45:04.827+00,2019-09-27 19:14:49.097+00,83,1,2004-2012
197,1994-2004,,,,true,2019-09-09 19:45:04.831+00,2019-09-27 19:14:49.098+00,84,1,1994-2004
198,1973-1991,,,,true,2019-09-09 19:45:04.837+00,2019-09-27 19:14:49.098+00,85,1,1973-1991
200,2000-2006,,,,true,2019-09-09 19:45:04.889+00,2019-09-27 19:14:49.098+00,86,1,2000-2006
201,2003-2007 HD,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,2003-2007-HD
202,2007.5-2013,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,20075-2013
203,2014-2015,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,2014-2015
205,1988-1998,,,,true,2019-09-09 19:45:04.932+00,2019-09-27 19:14:49.098+00,87,1,1988-1998
210,2007.5-2010,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,20075-2010
211,2011-2014,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,2011-2014
213,1999-2002 LD,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,1999-2002-LD
214,1999-2002 HD,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,1999-2002-HD
215,1973-1987,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,1973-1987
216,1988-1998,,,,true,2019-09-09 19:45:04.943+00,2019-09-27 19:14:49.099+00,88,1,1988-1998
217,2007-2014,,,,true,2019-09-09 19:45:04.954+00,2019-09-27 19:14:49.099+00,89,1,2007-2014
218,2000-2006,,,,true,2019-09-09 19:45:04.955+00,2019-09-27 19:14:49.099+00,89,1,2000-2006
221,1992-1999,,,,true,2019-09-09 19:45:04.955+00,2019-09-27 19:14:49.099+00,89,1,1992-1999
222,2007-2013,,,,true,2019-09-09 19:45:04.965+00,2019-09-27 19:14:49.099+00,90,1,2007-2013
223,2003-2006,,,,true,2019-09-09 19:45:04.965+00,2019-09-27 19:14:49.1+00,90,1,2003-2006
224,1973-1991,,,,true,2019-09-09 19:45:04.986+00,2019-09-27 19:14:49.1+00,91,1,1973-1991
226,2007-2014,,,,true,2019-09-09 19:45:04.987+00,2019-09-27 19:14:49.1+00,91,1,2007-2014
227,2000-2006,,,,true,2019-09-09 19:45:04.986+00,2019-09-27 19:14:49.1+00,91,1,2000-2006
